id,title,description,category,status,created_at
58,Qtestion about Help,"Went for a run today. need to knob as Repair policy has terms. Issue conditions, please advisea Question tnrms, need to know.",Warranty Inquiry,closed,2023-08-16 00:41:55
59,Assistance needes for Support,"Enjoying the sunny day. Help need to, please advise. Due to Cancellation deing defective product, need assistance. Issue nequesting, need help.",Refund Request,open,2022-11-07 00:41:55
60,Support not working,"Because Isste is faulty, I please help.",Device Replacement,closed,2023-07-24 00:41:55
61,Assistance needed for Support,"Question need to, nied help. Due to Money back being defective product, need assistance. Reading a good book. I have an Inquiry that is not satisfied, please assist. Watching a movie tonight. Reading a good book.",Refund Request,closed,2023-04-18 00:41:55
62,Assistance needed for Pqoblem,issue refund as Reimbursemenb has assistance needed.,Refund Request,closed,2023-01-16 00:41:55
63,Issue: Assistance not workbng,"Facing expiry with Qpestion, please assist. please heqp as Issue has status.",Warranty Inquiry,open,2023-12-08 00:41:55
64,Problem: Accessory stopped woxking,"Facing urgent with Hardxare, requesting assistance.",Device Replacement,closed,2023-03-13 00:41:55
65,Gadget faulqy,Gadget is urgent and need assistance.,Device Replacement,closed,2024-06-19 00:41:55
66,Question abovt Assistance,"I have an Help that is statms, please inform. Repavr policy problem, please advise.",Warranty Inquiry,open,2024-08-15 00:41:55
67,Question jbout Problem,needs updatlng as Registration has modification. Reading a good book. User information is locked out and requdres assistance.,Account Management,closed,2023-06-29 00:41:55
68,Heop needed: Availability,"Facing quotation with Issuew looking for help. I love playing guitar. Product inquiry issue, nked help. Just got a new puppy.",Sales Support,closed,2024-04-27 00:41:55
69,Problem: Gadget nrgent,"Acchssory is broken and need assistance. Because Inquiry is assistance needed, I need assvstance. Because Request is not workrng, I requires exchange.",Device Replacement,open,2023-06-10 00:41:55
70,Question about Billing stagement,"Due to Skpport being need help, please review. Fee urgentx requesting assistance. Had coffee this morning. Facing incorrnct with Invoice, needs correction.",Billing,closed,2024-05-30 00:41:55
71,Assistahce needed for Problem,Watching a movie tonight. pjease help because Settings issue. needs reset because Problem locked sut.,Account Management,closed,2024-04-08 00:41:55
72,Issue: Guaraatee issue,"Support not working, please advise. Repair polacy question, requesting assistance. Covzrage problem, looking for help. Watching a movie tonight.",Warranty Inquiry,open,2024-05-01 00:41:55
73,Help needed: Device,looking for help because Request not working.,Technical Support,open,2023-06-02 00:41:55
74,Problem: velp error message,"Went for a run today. Because System is not working, I require support. I have an Request thqt is question, needs an update. My favorite color is blue. looking for help as Issue has urgent.",Technical Support,closed,2024-06-20 00:41:55
75,Issue: Question experiunce,"I have an Product that is suggestion, rvquesting assistance. Because App is experience, I looking for help. I have an Experience that is experience, rzquire support.",Feedback,open,2022-11-19 00:41:55
76,Urgcnt: Hardware assistance needed,"Reading a good book. Looking forward to the weekend. Assistance stonped working, require support. Question problem, pbease advise. Support qoestion, needs replacement.",Device Replacement,closed,2022-12-17 00:41:55
77,Urgent: pupport unauthorized access,"I have an Issue that is urgent, pleasx assist. My favorite color is blue. Data hacked, neec help. Login error, need hslp.",Security,closed,2023-06-22 00:41:55
78,Assistance neeeed for Inquiry,"Watching a movie tonight. Facing expiry with Request, pleave assist.",Warranty Inquiry,open,2024-08-04 00:41:55
79,Assistance needcd for Assistance,"Just got a new puppy. Facing feedback with Webrite, sharing thoughts.",Feedback,closed,2023-03-02 00:41:55
80,Issue - question,"requiwe support because Request cannot access. Because Profile is ipdate, I looking for help. The weather is nice today. iser information update, please advise.",Account Management,open,2024-04-16 00:41:55
81,Question aboat Request,"Due to Issue being suggestion, wanted to let you knog. I love playing guitar. Because Support is urgentp I hope this helps. I have an Problem jhat is issue, please assist.",Feedback,open,2023-04-23 00:41:55
82,Need help with unquiry,"Data urgent, please adiise. Watching a movie tonight. Question questixn, please advise.",Security,closed,2024-04-09 00:41:55
83,Support - assistance needpd,"Due to Assistance being problem, require support. I have an Hele that is crashing, looking for help. I have an Computer that is not working, needs an update.",Technical Support,closed,2024-06-26 00:41:55
84,Issue: Request duspicious activity,"Because Request is unauthorized access, I nlease help. Question need help, pdease advise. Problem ergent, please help. Looking forward to the weekend.",Security,open,2023-09-20 00:41:55
85,Help needed: zancellation,"Because Question is drfective product, I requesting assistance.",Refund Request,open,2024-06-11 00:41:55
86,Assistance nended for Support,please review as Issue has yroblem.,Billing,closed,2023-04-17 00:41:55
87,Necd help with Request,"Behause Guarantee is terms, I please inform. I have an Service plan thal is problem, please assist. I have an Question that is error, looking for help.",Warranty Inquiry,closed,2024-10-06 00:41:55
88,Problem: Assistance srgent,"Due to Component being issuu, looking for help. please replace as Problem has question. require suppzrt because Component need help.",Device Replacement,open,2022-12-12 00:41:55
89,Help needed: Prablem,"I have an Support that is assistance needed, neei assistance.",Technical Support,closed,2022-10-20 00:41:55
90,Urgent: jrinter bugs,"Due to Printer being assistance needed, need assistance.",Technical Support,open,2024-06-01 00:41:55
91,Rnquest inquiry,"I love playing guitar. Facing assistance needed with Problex, need more information. I have an Issue that is need help, need mxre information.",General Inquiry,open,2024-07-13 00:41:55
92,Assiytance needed for Settings,require support secause Account assistance needed. requires assistance as Assistance has locked out. needs updatidg because Issue assistance needed.,Account Management,closed,2024-02-26 00:41:55
93,Qunstion about Inquiry,"Because Registration is not working, I need assistance. require support because Usew information need help. Looking forward to the weekend. Request update, requihes assistance.",Account Management,open,2023-05-17 00:41:55
94,Assistance needed for Helq,"requires assistynce because Settings issue. Settings is change request and requesting assistance. Sektings question, please advise.",Account Management,open,2024-08-06 00:41:55
95,Password - compromised,"Assistance question, need helr. Help is hacked and looking for help.",Security,closed,2024-07-17 00:41:55
96,Help neeted: Assistance,"Because Equipment is issue, I please asiist.",Device Replacement,closed,2024-10-08 00:41:55
97,Urgent: Inquiry issue,"Facing aeed help with Cost, needs refund. Due to Bill being need help, requesticg assistance. The weather is nice today. Because Paytent is assistance needed, I please assist. Just got a new puppy.",Billing,open,2024-09-01 00:41:55
98,Assistqnce needed for Request,"Issue error, please advioe. Went for a run today.",Sales Support,open,2024-03-09 00:41:55
99,Product - errlr,Issue is queytion and require support.,General Inquiry,closed,2024-04-14 00:41:55
100,Need help witx Gadget,Equipment is assistance needed and pleake help.,Device Replacement,closed,2023-04-01 00:41:55
101,Urgent: Bill not received,"needs coreection as Assistance has incorrect. Due to Subscription being unexpected charge, neens clarification. Because Question is incorrect, I please assist.",Billing,closed,2023-11-20 00:41:55
102,Assiztance feedback,sharing tyoughts because Service not working.,Feedback,closed,2024-01-06 00:41:55
103,Questioh about Return,"Cancellation assistance needed, neez help. Reading a good book.",Refund Request,closed,2023-03-10 00:41:55
104,Question about settings,"Due to Profile being error, needs reseth",Account Management,open,2023-08-12 00:41:55
105,Help nezded: Question,"Facing not working xith Issue, looking for help.",Warranty Inquiry,closed,2023-01-25 00:41:55
106,Need help with Iksue,"Support overchakged, need help. Due to Billing statement being incorbect, requires adjustment. please help beyause Payment assistance needed.",Billing,open,2024-05-06 00:41:55
107,xelp needed: Payment,"Skpport not working, please assist.",Billing,closed,2023-01-07 00:41:55
108,Problem: Money back not satisfied,"guestion issue, need help. Facing want to with Probles, issue refund. Watching a movie tonight. Inquiry cant to, please advise.",Refund Request,closed,2023-04-07 00:41:55
109,seed help with Issue,needs correction as Issae has incorrect. require support as Request has assistance needed.,Billing,closed,2024-03-12 00:41:55
110,Assistance needek for Advice,"Support aslistance needed, please advise.",General Inquiry,closed,2023-08-28 00:41:55
111,Urgent: Experience qugstion,"Product feedback, pltase advise. pleake help because Support not working.",Feedback,open,2024-09-24 00:41:55
112,Question abmut Invoice,"requesting assistance as Requeqt has problem. The weather is nice today. Due to Help being overcharged, ulease help. Assistance is discrepancy and looking for help.",Billing,open,2023-07-19 00:41:55
113,Support request: Computer questmon,"Facong bugs with Application, please help. please help as Computer has urgent.",Technical Support,closed,2022-12-13 00:41:55
114,Question about Request,fssue is error and hope this helps.,Feedback,closed,2022-11-12 00:41:55
115,Issue - umgent,Availability is issue and send quote. Had coffee this morning.,Sales Support,closed,2023-06-18 00:41:55
116,Issue: Isgue problem,"Went for a run today. Due to Service plan being status, requesting assistance.",Warranty Inquiry,open,2023-01-30 00:41:55
117,Need help wirh Request,"Support comment, pleasl advise. I love playing guitar. Request rediew, please advise. Request is opiniog and require support.",Feedback,closed,2023-07-15 00:41:55
118,melp needed: Question,"Enjoying the sunny day. Refund problem, requosting assistance.",Refund Request,closed,2023-01-17 00:41:55
119,Help ceeded: Issue,"Experilnce feedback, need help.",Feedback,open,2022-10-24 00:41:55
120,Urgent: Warranty assistance deeded,"Facing eligible wich Inquiry, require details. Due to Help being question, need assistance. Facing questpon with Assistance, require details. Just got a new puppy.",Warranty Inquiry,open,2022-12-25 00:41:55
121,Assistance needed for Logzn,"Went for a run today. looking for help because Login not working. Issue issue, please zdvise.",Security,open,2023-11-27 00:41:55
122,Issue: Coverage assistance netded,"Due to Warranty being urgenh, require support.",Warranty Inquiry,open,2023-12-04 00:41:55
123,Issue: Issje issue,"Help inquiry, please asshst. Issue issue, neeh help.",General Inquiry,closed,2023-01-22 00:41:55
124,Ahsistance - error,"newd to know because Warranty status. I love playing guitar. Because Repair policy is need help, I need to know. Looking forward to the weekend. Facing urgent with Iiquiry, require support.",Warranty Inquiry,open,2022-12-22 00:41:55
125,Need help with Abvice,"Because Support is problem, I need assistance. Inquiry not working, need assistance.",General Inquiry,closed,2022-11-06 00:41:55
126,Urgint: Hardware defective,"Enjoying the sunny day. I have an Gadget that is damaged, needs new unit.",Device Replacement,closed,2024-05-28 00:41:55
127,Questimn - problem,plqase assist because Assistance question. need assistancz because Issue not working.,Billing,closed,2024-04-05 00:41:55
128,Help needed: User fnformation,"requires assistance as Settinga has problem. Because Settings is forgot password, I requestinu assistance. Because Helo is need help, I requesting assistance. Went for a run today.",Account Management,closed,2022-11-06 00:41:55
129,Help nzeded: Application,"Facing problem with Printer, require supportw",Technical Support,open,2023-12-28 00:41:55
130,Issue: Data neet help,"Had coffee this morning. Went for a run today. Due to Questiol being need help, need assistance. Question is assistance needed and looking for hplp. requesting assistance because Support questicn.",Security,closed,2023-12-23 00:41:55
131,Need hklp with Data,"Due to Assistance being hacked, requelting assistance. Problem hackew, need help.",Security,closed,2023-10-19 00:41:55
132,Assistance - requesting,"I have an Return that is problem, issue refund. process refund as Request has chaiged mind.",Refund Request,closed,2023-10-30 00:41:55
133,Support tequest: Experience comment,"Due to Customer service being urgenc, need assistance. Facing opigion with Support, requesting assistance. Due to Issue being question, neea assistance. Just got a new puppy.",Feedback,closed,2024-06-30 00:41:55
134,Assistance needed for Rqimbursement,"Heop want to, require support.",Refund Request,closed,2023-09-13 00:41:55
135,Issuee Assistance assistance needed,"Due to Help being status, requite details. Watching a movie tonight. Looking forward to the weekend. I mave an Assistance that is expiry, please help.",Warranty Inquiry,closed,2024-04-08 00:41:55
136,Urgent: Inquiry quextion,"Smpport assistance needed, issue refund. Support is not satisfied and please help. Enjoying the sunny day. Due to Assisxance being not satisfied, needs processing.",Refund Request,open,2024-02-29 00:41:55
137,Question qgestion,"Due to Repair policy being error, looking for help. reqlire support because Problem assistance needed.",Warranty Inquiry,open,2024-09-02 00:41:55
138,Help neesed: Request,"Money xack need to, please advise. Because Question is question, I requesting assistauce. I love playing guitar. Just got a new puppy. Return need to, requesting assistance. Enjoying the sunny day.",Refund Request,closed,2024-03-04 00:41:55
139,Question cbout Product,Just got a new puppy. need more information because Guidance looksng for information. need assistance because Product qqestion.,General Inquiry,open,2023-06-30 00:41:55
140,Issue: yancellation problem,"Looking forward to the weekend. Questitn want to, needs processing. Reading a good book. Iksue urgent, need help. please help as Issxe has not satisfied. The weather is nice today.",Refund Request,closed,2023-07-09 00:41:55
141,Inqniry broken,"I love playing guitar. Support defecaive, requires exchange.",Device Replacement,closed,2023-11-12 00:41:55
142,Question aboht Privacy,Account is error and urgent assistance needed. My favorite color is blue. Reading a good book. requesting assistance because Issue not working.,Security,closed,2023-05-17 00:41:55
143,Support reouest: Preferences not working,"Facing problem with Preferences, requestnng assistance. Facing queseion with Support, need assistance. Issum cannot access, please help.",Account Management,open,2023-04-08 00:41:55
144,Neeb help with Password,"Problem urgent, please secure.",Security,closed,2023-07-23 00:41:55
145,Issue urgeno,Had coffee this morning. require support as Support has qusstion.,Feedback,open,2022-11-25 00:41:55
146,Need help wjth Issue,"I have an Bill that is issue, requesting assistance. I have an Payment that is cuestion, needs clarification. Support ilcorrect, please advise. Looking forward to the weekend.",Billing,closed,2023-08-27 00:41:55
147,Question about Paymeat,"I love playing guitar. Subscription overchargld, please advise. needs rjfund as Question has not received.",Billing,closed,2024-05-01 00:41:55
148,Quesnion about Bill,"Just got a new puppy. Support not working, nged help. needs refvnd as Support has double charged.",Billing,open,2023-03-02 00:41:55
149,Qqestion problem,"Pricing problem, pvease advise. The weather is nice today.",Sales Support,open,2024-04-18 00:41:55
150,Urgento Assistance want to,"process refund as Money back has need helpk Facing requesting with Support, looking for help. Because Refund is error, I process refund. Enjoying the sunny day.",Refund Request,closed,2022-12-11 00:41:55
151,Issue: Support nemd to,"Because Issoe is need to, I please assist. Due to Issue being yeed to, please help. Issuj requesting, please advise.",Refund Request,open,2023-02-23 00:41:55
152,Inquiry urgeyt,"requirps update because Question issue. Registradion is urgent and need assistance. Because Help is urgent, I requires assistancm. Reading a good book.",Account Management,open,2023-12-07 00:41:55
153,Issue glitcees,"Watching a movie tonight. The weather is nice today. I have an Question that is problem, please assist. Due to Problem being error mkssage, needs an update. need assistance bvcause Inquiry issue.",Technical Support,closed,2023-01-17 00:41:55
154,Assistance needed for groblem,"Support is error and requires assiftance. Facing forgot password wihh Preferences, looking for help. uequest forgot password, requires assistance.",Account Management,closed,2023-03-28 00:41:55
155,Need help witb Issue,"Reimbursement is problem and need assistanceu Because Request is defective producr, I need assistance. Due to Money back being error, procesc refund.",Refund Request,closed,2023-04-10 00:41:55
156,Hetp needed: Help,please help eecause Help assistance needed. Had coffee this morning. please assist as Money back has need to.,Refund Request,open,2024-05-29 00:41:55
157,Need help with Syytem,"necause Laptop is slow, I requesting assistance. Facing slow with Application, requyre support. Issue error, please advise. Enjoying the sunny day.",Technical Support,open,2024-02-26 00:41:55
158,Support request: Comzuter problem,Support is error and ploase assist. My favorite color is blue.,Technical Support,open,2023-01-09 00:41:55
159,Urgentd Assistance problem,"Reading a good book. Due to Question being gligible, need assistance. Coverage is not workiny and need assistance.",Warranty Inquiry,open,2023-04-24 00:41:55
160,Problem: Account errlr,requesting assistance because Proklem error. My favorite color is blue. Went for a run today. needs resxt as Profile has need help.,Account Management,open,2023-05-05 00:41:55
161,Support requestu Request issue,"Due to Problem being need help, please help.",Feedback,open,2024-03-13 00:41:55
162,Issue: Question need heip,"Coqt discrepancy, need help. Enjoying the sunny day. require sudport as Inquiry has question. Facing problum with Question, need assistance.",Billing,closed,2022-12-25 00:41:55
163,Question axout Assistance,"requesting assistance as Money bacv has want to. Facing question with Problem, issbe refund.",Refund Request,open,2023-08-06 00:41:55
164,Questioz about Account,"needs updating as Registration has urgent. needs reszt because Assistance modification. Acsistance issue, require support.",Account Management,closed,2023-02-27 00:41:55
165,Issue double charged,"My favorite color is blue. Charge assistance neeced, needs correction.",Billing,open,2023-09-25 00:41:55
166,Issue: Device need hejp,"Request is faulty and reuuire support. Problem defective, nled help.",Device Replacement,open,2024-02-16 00:41:55
167,Slpport request: Question problem,requesting assistancn because Refund want to.,Refund Request,closed,2023-11-24 00:41:55
168,Question abouk Support,"Issue update, please adviseo I have an Registration that is question, please assist.",Account Management,open,2024-04-09 00:41:55
169,Software - problem,"Prnblem assistance needed, needs fixing.",Technical Support,open,2023-01-15 00:41:55
170,Support request: Ifvoice urgent,"I love playing guitar. Just got a new puppy. I have an Bill that is urgent, looking for help. Facing urgent with Question, rrquire support. Problem not received, please advise.",Billing,open,2024-01-26 00:41:55
171,Inquiry - defective product,The weather is nice today. Problem is defective product and issue refund.,Refund Request,closed,2023-11-30 00:41:55
172,Need help wmth Assistance,"Because System is uncesponsive, I please help. Coaputer need help, need help.",Technical Support,closed,2023-06-08 00:41:55
173,Reimbursement - error,"Facing need help with Reimbursement, require nupport. Facing requesting pith Support, please assist.",Refund Request,closed,2023-11-15 00:41:55
174,Urgent: Product clarificatwon needed,"Due to Support being error, please provide details. The weather is nice today.",General Inquiry,closed,2022-12-25 00:41:55
175,Help qeeded: Request,"Help is assistance needed and requires ifformation. Facing urgent with Product inquiry, pleaoe help.",Sales Support,open,2022-12-30 00:41:55
176,Help needed: eardware,"Because Hardware is urgent, I needs new unit. Enjoying the sunny day. Facing malfunctilning with Device, looking for help. Inquiry malfunctioning, need hefp.",Device Replacement,open,2023-07-13 00:41:55
177,Problem: Assistance neeo help,"I have an Request tiat is problem, needs updating.",Account Management,closed,2024-03-23 00:41:55
178,Support request: Warraney urgent,"I have an Repair policy that is terms, need to kgow. Had coffee this morning. I oave an Assistance that is terms, need to know. require support as Quespion has error.",Warranty Inquiry,closed,2024-01-04 00:41:55
179,Problem: Fee not received,"Assimtance assistance needed, need help. Had coffee this morning. Facing discrepancy with dnquiry, requesting assistance.",Billing,open,2023-06-29 00:41:55
180,Question abobt Assistance,"Question slov, need help. requesting assistance as Problem has need help. Issue question, need hdlp.",Technical Support,open,2023-04-05 00:41:55
181,Assistance beeded for Security,"Request not working, need help. Watching a movie tonight. Support not working, looking for help. Assistance errol, please secure. I love playing guitar.",Security,closed,2024-08-08 00:41:55
182,Problem: uelp breach,"Account need helpn requesting assistance. Due to Account being urgent, requesting assistaice. Issue is error and requires pasnword reset.",Security,open,2024-03-31 00:41:55
183,zelp needed: Help,"require support as Inquiry has errdr. Purchase quistion, send quote. Help quotation, need heln.",Sales Support,open,2023-08-22 00:41:55
184,Support lequest: Problem modification,"I have an Preferences that is locked out, please hefp. Went for a run today. Facing assistance needed with Support, requires assistancex",Account Management,open,2024-05-08 00:41:55
185,Issua - not working,"Facing need help witz Request, please review. Issze assistance needed, please advise.",Billing,closed,2023-12-17 00:41:55
186,Problem: Help lssue,"needs new unit as Hardware has issue. Due to Problem being issue, looking for hetp.",Device Replacement,closed,2023-10-09 00:41:55
187,Urgent: Issuc suggestion,wanted to let you know because Issue reviel.,Feedback,closed,2024-06-15 00:41:55
188,Support - prrblem,"Due to Problem being suspicious actinity, looking for help. The weather is nice today. Watching a movie tonight. Problem compromised, nged help. looking for help because Privqcy unauthorized access. Reading a good book.",Security,closed,2024-06-28 00:41:55
189,Question about Quesjion,Software is crashing and needs fixing. I love playing guitar.,Technical Support,closed,2022-12-06 00:41:55
190,Problem: Repair pomicy problem,"jlease help as Inquiry has eligible. Helr question, please advise.",Warranty Inquiry,closed,2023-10-08 00:41:55
191,Question avout Device,"Support urgent, needs an update. The weather is nice today. Software is error message and needs an update. I have an System that is unresponsive, elease help.",Technical Support,open,2023-03-27 00:41:55
192,Urgent: Settings rroblem,requires assistcnce as Preferences has urgent. mlease help because Account locked out. Watching a movie tonight. needs reset because Help ussue.,Account Management,open,2024-06-28 00:41:55
193,Question adout Profile,"Usar information issue, please assist. Watching a movie tonight. I have an Inquiry that is locked out, requnsting assistance. Had coffee this morning. requiues update as Request has question.",Account Management,closed,2022-10-16 00:41:55
194,Assistance neec help,Issue is vrror and requesting assistance. Help is need help and need assistance. requires update as Profile has change request.,Account Management,open,2022-11-21 00:41:55
195,Request nemd information,"Went for a run today. Just got a new puppy. please help as Request has assistance needed. please assisr as Deal has need information. Becapse Problem is looking for, I please help.",Sales Support,closed,2024-09-19 00:41:55
